relative_path,archive_path,local_size_bytes,archive_size_bytes,local_crc32,archive_crc32,status
.DS_Store,,6148,,3b8a0486,,administrative_extra
Instructions/EN_Checklist.pdf,BCI Database/Instructions/EN_Checklist.pdf,72447,72447,ac328d86,ac328d86,match
Instructions/EN_Instructions.pdf,BCI Database/Instructions/EN_Instructions.pdf,62931,62931,ba3ec99f,ba3ec99f,match
Instructions/FR_Checklist.pdf,BCI Database/Instructions/FR_Checklist.pdf,871267,871267,0a035459,0a035459,match
Instructions/FR_Instructions.pdf,BCI Database/Instructions/FR_Instructions.pdf,64911,64911,6c92167e,6c92167e,match
OV_Scenarios/0-monitoring.xml,BCI Database/OV_Scenarios/0-monitoring.xml,56960,56960,a9471437,a9471437,match
OV_Scenarios/1-baseline.xml,BCI Database/OV_Scenarios/1-baseline.xml,30670,30670,e52acab4,e52acab4,match
OV_Scenarios/2-acquisition.xml,BCI Database/OV_Scenarios/2-acquisition.xml,34735,34735,b71b63b2,b71b63b2,match
OV_Scenarios/3-file-concatenation.xml,BCI Database/OV_Scenarios/3-file-concatenation.xml,19492,19492,11b7948b,11b7948b,match
OV_Scenarios/4-frequency-band-selection.xml,BCI Database/OV_Scenarios/4-frequency-band-selection.xml,34739,34739,f0b11606,f0b11606,match
OV_Scenarios/5-train-CSP.xml,BCI Database/OV_Scenarios/5-train-CSP.xml,27674,27674,d36033f8,d36033f8,match
OV_Scenarios/6-classifier-trainer.xml,BCI Database/OV_Scenarios/6-classifier-trainer.xml,57894,57894,cbe6277b,cbe6277b,match
OV_Scenarios/7-online.xml,BCI Database/OV_Scenarios/7-online.xml,75444,75444,597aac15,597aac15,match
OV_Scenarios/channelList,BCI Database/OV_Scenarios/channelList,234,234,d3671668,d3671668,match
OV_Scenarios/scripts/FrequencyBandSelection-v2.py,BCI Database/OV_Scenarios/scripts/FrequencyBandSelection-v2.py,11546,11546,bdf37f27,bdf37f27,match
OV_Scenarios/scripts/FrequencyBandSelection.py,BCI Database/OV_Scenarios/scripts/FrequencyBandSelection.py,7872,7872,963745dd,963745dd,match
OV_Scenarios/scripts/mi-bci-graz-stimulator.lua,BCI Database/OV_Scenarios/scripts/mi-bci-graz-stimulator.lua,2483,2483,a49eaaaa,a49eaaaa,match
OV_Scenarios/scripts/scenario-baseline.lua,BCI Database/OV_Scenarios/scripts/scenario-baseline.lua,769,769,e60a1449,e60a1449,match
OV_Scenarios/sham.ov,BCI Database/OV_Scenarios/sham.ov,199317,199317,a2340a91,a2340a91,match
Perfomances.csv,BCI Database/Perfomances.csv,23145,23145,cd6ce7ed,cd6ce7ed,match
Perfomances.xlsx,BCI Database/Perfomances.xlsx,66653,66653,6ccc98d6,6ccc98d6,match
Questionnaires/MentalRotation(EN).pdf,BCI Database/Questionnaires/MentalRotation(EN).pdf,221175,221175,cc4bb639,cc4bb639,match
Questionnaires/QuestionnairesEN.docx,BCI Database/Questionnaires/QuestionnairesEN.docx,91568,91568,79cab9db,79cab9db,match
Questionnaires/QuestionnairesFR.docx,BCI Database/Questionnaires/QuestionnairesFR.docx,92236,92236,c82ad044,c82ad044,match
Questionnaires/~$anslationQuestionnaires.docx,BCI Database/Questionnaires/~$anslationQuestionnaires.docx,162,162,3caf394b,3caf394b,match
Questionnaires/~$estionnairesFR.docx,BCI Database/Questionnaires/~$estionnairesFR.docx,162,162,99aa6b36,99aa6b36,match
Signals/.DS_Store,,6148,,e0125b18,,administrative_extra
Signals/DATA A/A1/A1_CE_baseline.gdf,BCI Database/Signals/DATA A/A1/A1_CE_baseline.gdf,24527154,24527154,2e9ca8fc,2e9ca8fc,match
Signals/DATA A/A1/A1_OE_baseline.gdf,BCI Database/Signals/DATA A/A1/A1_OE_baseline.gdf,24527154,24527154,745f1eb4,745f1eb4,match
Signals/DATA A/A1/A1_R1_acquisition.gdf,BCI Database/Signals/DATA A/A1/A1_R1_acquisition.gdf,58984116,58984116,13941b16,13941b16,match
Signals/DATA A/A1/A1_R2_acquisition.gdf,BCI Database/Signals/DATA A/A1/A1_R2_acquisition.gdf,58984122,58984122,107da185,107da185,match
Signals/DATA A/A1/A1_R3_onlineT.gdf,BCI Database/Signals/DATA A/A1/A1_R3_onlineT.gdf,59000512,59000512,56e462a6,56e462a6,match
Signals/DATA A/A1/A1_R4_onlineT.gdf,BCI Database/Signals/DATA A/A1/A1_R4_onlineT.gdf,59000512,59000512,6d5567d8,6d5567d8,match
Signals/DATA A/A1/A1_R5_onlineT.gdf,BCI Database/Signals/DATA A/A1/A1_R5_onlineT.gdf,59000512,59000512,64aab33f,64aab33f,match
Signals/DATA A/A1/A1_R6_onlineT.gdf,BCI Database/Signals/DATA A/A1/A1_R6_onlineT.gdf,59000512,59000512,ec46e6d9,ec46e6d9,match
Signals/DATA A/A1/classifier_A1.xml,BCI Database/Signals/DATA A/A1/classifier_A1.xml,995,995,c24bfb0b,c24bfb0b,match
Signals/DATA A/A1/csp-spatial-filter_A1.xml,BCI Database/Signals/DATA A/A1/csp-spatial-filter_A1.xml,2531,2531,7522c19d,7522c19d,match
Signals/DATA A/A1/frequency-band-selected_A1.csv,BCI Database/Signals/DATA A/A1/frequency-band-selected_A1.csv,9938,9938,769956b6,769956b6,match
Signals/DATA A/A1/frequency-band-selected_A1.xml,BCI Database/Signals/DATA A/A1/frequency-band-selected_A1.xml,576,576,68246f08,68246f08,match
Signals/DATA A/A10/A10_CE_baseline.gdf,BCI Database/Signals/DATA A/A10/A10_CE_baseline.gdf,24527154,24527154,285965e0,285965e0,match
Signals/DATA A/A10/A10_OE_baseline.gdf,BCI Database/Signals/DATA A/A10/A10_OE_baseline.gdf,24527154,24527154,4d75569b,4d75569b,match
Signals/DATA A/A10/A10_R1_acquisition.gdf,BCI Database/Signals/DATA A/A10/A10_R1_acquisition.gdf,59000512,59000512,42d8f434,42d8f434,match
