subject,dataset,baseline,n_train,n_test,accuracy,error
A10,A,CSP_LDA,160.0,80.0,0.8125,
A10,A,FBCSP_proxy_logreg,160.0,80.0,0.7,
A10,A,Riemannian_MDM,160.0,80.0,0.5,
A10,A,Tangent_logreg,160.0,80.0,0.825,
A10,A,engineered_sensorimotor_logreg,160.0,80.0,0.6625,
A11,A,CSP_LDA,160.0,80.0,0.4875,
A11,A,FBCSP_proxy_logreg,160.0,80.0,0.5125,
A11,A,Riemannian_MDM,160.0,80.0,0.5,
A11,A,Tangent_logreg,160.0,80.0,0.5,
A11,A,engineered_sensorimotor_logreg,160.0,80.0,0.5625,
A12,A,CSP_LDA,160.0,80.0,0.5625,
A12,A,FBCSP_proxy_logreg,160.0,80.0,0.5375,
A12,A,Riemannian_MDM,160.0,80.0,0.5,
A12,A,Tangent_logreg,160.0,80.0,0.4875,
A12,A,engineered_sensorimotor_logreg,160.0,80.0,0.525,
A13,A,CSP_LDA,160.0,80.0,0.5,
A13,A,FBCSP_proxy_logreg,160.0,80.0,0.5375,
A13,A,Riemannian_MDM,160.0,80.0,0.5,
A13,A,Tangent_logreg,160.0,80.0,0.625,
A13,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A14,A,CSP_LDA,160.0,80.0,0.5375,
A14,A,FBCSP_proxy_logreg,160.0,80.0,0.4875,
A14,A,Riemannian_MDM,160.0,80.0,0.5,
A14,A,Tangent_logreg,160.0,80.0,0.525,
A14,A,engineered_sensorimotor_logreg,160.0,80.0,0.4625,
A15,A,CSP_LDA,160.0,80.0,0.6,
A15,A,FBCSP_proxy_logreg,160.0,80.0,0.6125,
A15,A,Riemannian_MDM,160.0,80.0,0.5,
A15,A,Tangent_logreg,160.0,80.0,0.5625,
A15,A,engineered_sensorimotor_logreg,160.0,80.0,0.65,
A16,A,CSP_LDA,160.0,80.0,0.5625,
A16,A,FBCSP_proxy_logreg,160.0,80.0,0.4875,
A16,A,Riemannian_MDM,160.0,80.0,0.5,
A16,A,Tangent_logreg,160.0,80.0,0.475,
A16,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A17,A,CSP_LDA,160.0,80.0,0.4875,
A17,A,FBCSP_proxy_logreg,160.0,80.0,0.6125,
A17,A,Riemannian_MDM,160.0,80.0,0.525,
A17,A,Tangent_logreg,160.0,80.0,0.6375,
A17,A,engineered_sensorimotor_logreg,160.0,80.0,0.55,
A18,A,CSP_LDA,160.0,80.0,0.525,
