subject,dataset,validity_label,observed_status,observed_gap,h1b_common_shift_removed_status,h1b_common_shift_removed_gap,time_control_gap,permutation_subject_mean,permutation_subject_sd,random_subject_mean,random_subject_sd,n_permutation_failures,n_random_failures,n_valid_trials,n_train_parity,n_test_parity,config_hash,seed
A1,A,full_predeclared_inference,ok,0.0010032859297565144,ok,-0.016618185735832847,-0.16225296442687753,6.56699172823324e-05,0.07621063378191227,0.0006082753401596994,0.0694563456399003,0,0,238,118,120,e90eda294b47248d,1745192146
A5,A,full_predeclared_inference,ok,-0.0842247527030135,ok,-0.05075339314469751,0.0013092193399099061,-0.0016748613863845198,0.08467054945736996,0.0027789766992812265,0.08597708387330201,0,0,238,118,120,e90eda294b47248d,3328879027
A29,A,full_predeclared_inference,ok,7.942201270752514e-05,ok,0.027507344401175055,0.06437338501291992,-0.0032143572936818906,0.07978733853619267,0.000629551144202654,0.08016809247480561,0,0,238,118,120,e90eda294b47248d,3792649476
A33,A,full_predeclared_inference,ok,-0.0034836644383767768,ok,0.003389511345447682,0.12002567394094982,-0.0033162153493794563,0.06014500091006613,-0.00042842424745458276,0.06198387479787641,0,0,240,120,120,e90eda294b47248d,965608130
A37,A,full_predeclared_inference,ok,0.06317806684338545,ok,0.07828426884923351,-0.04536317341195395,0.004233746075678339,0.0700934728160128,-0.0034195708329393787,0.07194191320267163,0,0,239,120,119,e90eda294b47248d,807117547
A41,A,full_predeclared_inference,ok,0.08029689608636975,ok,0.08569500674763836,0.10960281548516837,-0.0011310559601470393,0.07118939005702588,-0.000794061676685192,0.0718075863802652,0,0,236,120,116,e90eda294b47248d,1484773964
A45,A,full_predeclared_inference,ok,-0.009283027536107075,ok,-0.1289258334051167,-0.009811658249158361,-0.00208094535215403,0.07416177105459508,0.0007746224372065778,0.07300447781838462,0,0,240,120,120,e90eda294b47248d,572393361
B69,B,full_predeclared_inference,ok,0.014957264957264904,ok,0.012891737891737864,0.06260175010175006,-0.0013558308546286369,0.04746554867510055,0.0016784072605662244,0.046278212555919164,0,0,240,120,120,e90eda294b47248d,1138350106
B73,B,full_predeclared_inference,ok,0.05837764386151478,ok,0.06824116743471581,0.006651846785225679,-0.002915812629723232,0.04543423650095261,-0.004488929415935786,0.043345521602813616,0,0,238,119,119,e90eda294b47248d,147938930
B77,B,full_predeclared_inference,ok,-0.022831804786692,ok,-0.0425238921479523,0.09922664718061144,-0.0005116212052837752,0.07680309330684477,0.004307203870230271,0.07959020017592983,0,0,239,119,120,e90eda294b47248d,521705956
B81,B,full_predeclared_inference,ok,0.169720066518847,ok,0.1719927937915743,0.11001228994048307,-0.006449531143871472,0.08448492037323808,-0.009384268095275096,0.08586231319784211,0,0,240,120,120,e90eda294b47248d,3179537549
C85,C,full_predeclared_inference,ok,-0.0009603759603760142,ok,-0.041439978939978944,-0.0194851444851446,-0.002960320850810553,0.062078772157743774,-0.0012814255295286018,0.064403556762184,0,0,240,120,120,e90eda294b47248d,30714174
A2,A,full_predeclared_inference,ok,-0.02039852911945933,ok,-0.01934080131754551,-0.0914318783068783,0.0016593507022532959,0.0759047099887508,-0.0046958359107282365,0.07784146887277359,0,0,238,118,120,e90eda294b47248d,1242715119
A6,A,full_predeclared_inference,ok,0.06281580313003576,ok,0.048542639681716016,0.15354220499569338,0.003254177291912293,0.07761784059269679,0.003180764510918901,0.0786669254319318,0,0,238,119,119,e90eda294b47248d,1228882262
A14,A,full_predeclared_inference,ok,0.0795250320924262,ok,0.04813329054343177,0.14294063779357893,-0.00012460390605308324,0.08091469024375192,-0.0004572951670763223,0.07739581299667578,0,0,236,119,117,e90eda294b47248d,3294952796
A18,A,full_predeclared_inference,ok,-0.06442549863602492,ok,-0.09425437057016006,0.06275528066285457,-0.0005227023946736347,0.050233728504020754,-0.00259045895481342,0.052665465626846576,0,0,240,120,120,e90eda294b47248d,3240221066
A22,A,full_predeclared_inference,ok,-0.12033208020050123,ok,-0.13421052631578945,0.024846560846560894,-0.001280809435103159,0.06001544786374391,0.004130585897754681,0.06210132934456069,0,0,239,119,120,e90eda294b47248d,2577112101
A26,A,full_predeclared_inference,ok,-0.08521907000167872,ok,-0.028737899390073318,-0.03072333239515901,-0.0014923451728492251,0.06968876130854018,-0.0053264580598774225,0.067958388352005,0,0,237,118,119,e90eda294b47248d,1173471328
A34,A,full_predeclared_inference,ok,-0.15402283405000802,ok,-0.1696005534320752,0.005556001283697043,-0.000246859110471218,0.07471578504236534,-0.004775842339242233,0.07711041536278544,0,0,240,120,120,e90eda294b47248d,2388361449
A38,A,full_predeclared_inference,ok,0.03531162464985993,ok,0.025472689075630217,0.10245665445665453,0.0004068763602263276,0.0674316838335123,-0.003963463629500106,0.06744535649520532,0,0,240,120,120,e90eda294b47248d,3731025887
A42,A,full_predeclared_inference,ok,0.20483516483516484,ok,0.05488226059654633,0.090817716640085,-0.0022284284742052954,0.06770737487577495,-0.005140370746806472,0.06567464766961066,0,0,240,120,120,e90eda294b47248d,4224383484
A50,A,full_predeclared_inference,ok,0.027682778537771763,ok,0.0012051332160771255,0.011955428166098597,-0.0020467431080912926,0.07700457041548342,0.002087260907597691,0.0745096323179489,0,0,240,120,120,e90eda294b47248d,3355876606
A54,A,full_predeclared_inference,ok,0.03585737179487186,ok,0.15814903846153852,-0.0774322089947091,0.0032364590049147914,0.06934406762619101,-0.0013653223323122526,0.07128529719402996,0,0,240,120,120,e90eda294b47248d,194953981
B62,B,full_predeclared_inference,ok,0.05949961285327143,ok,0.06898470770421988,0.04229460847240052,-0.003281468480294469,0.055089113174536936,0.0002294865270077072,0.05531470221908819,0,0,239,119,120,e90eda294b47248d,3074733576
B66,B,full_predeclared_inference,ok,-0.025083959266214095,ok,-0.035881301458905085,0.09389598720011735,0.0022926963456740865,0.08285954681360722,0.0010680696396064117,0.08263524349348507,0,0,239,120,119,e90eda294b47248d,662777692
B74,B,full_predeclared_inference,ok,0.12297570850202424,ok,0.1196982841719684,0.07024205291214275,-0.0004482240952573867,0.06846076536380624,0.0022139940307990083,0.0665222270849344,0,0,240,120,120,e90eda294b47248d,2239560825
