architecture,fold,epoch,train_loss,validation_loss,validation_balanced_accuracy
EEGNet,1,1,0.7040932766836265,0.6935263276100159,0.5047619047619047
EEGNet,1,2,0.6959143851337761,0.6929928660392761,0.5047619047619047
EEGNet,1,3,0.6941322126779063,0.6928883194923401,0.5029761904761905
EEGNet,1,4,0.6930966325874987,0.6917263269424438,0.5059523809523809
EEGNet,1,5,0.6913653427156908,0.691431999206543,0.5101190476190476
EEGNet,1,6,0.6904326001631802,0.6898335814476013,0.5148809523809524
EEGNet,1,7,0.6891347393393517,0.687497615814209,0.5202380952380953
EEGNet,1,8,0.6872511742443874,0.6856338977813721,0.518452380952381
EEGNet,1,9,0.6871917900340311,0.683420717716217,0.5226190476190476
EEGNet,1,10,0.68510934607736,0.6869933605194092,0.5202380952380952
EEGNet,1,11,0.6841703000767477,0.6846250891685486,0.5208333333333334
EEGNet,1,12,0.6840306623228665,0.6868414282798767,0.519047619047619
EEGNet,2,1,0.7005327658591864,0.6926564574241638,0.5011904761904762
EEGNet,2,2,0.6938634494343541,0.6902917623519897,0.5178571428571428
EEGNet,2,3,0.6918746529730604,0.6896000504493713,0.513095238095238
EEGNet,2,4,0.6909095396811359,0.6849951148033142,0.5214285714285714
EEGNet,2,5,0.6877624244137384,0.6801260709762573,0.5279761904761905
EEGNet,2,6,0.6869879861246363,0.6794808506965637,0.5279761904761905
EEGNet,2,7,0.6862913487806852,0.6794926524162292,0.5232142857142857
EEGNet,2,8,0.6851088944422841,0.6815330982208252,0.5214285714285715
EEGNet,2,9,0.6813080379891293,0.6783784627914429,0.5255952380952381
EEGNet,2,10,0.6808531015727654,0.6808342337608337,0.5220238095238096
EEGNet,2,11,0.6815586906134314,0.6789892911911011,0.5238095238095238
EEGNet,2,12,0.6816736679732032,0.6801137924194336,0.5232142857142857
EEGNet,3,1,0.700647974267919,0.6934823989868164,0.4976190476190476
EEGNet,3,2,0.6950958153034779,0.6937578916549683,0.5023809523809524
EEGNet,3,3,0.6940322888658402,0.6939654350280762,0.4988095238095238
EEGNet,3,4,0.6944516103318397,0.6931096911430359,0.4988095238095238
EEGNet,3,5,0.6935816338721742,0.693406343460083,0.5005952380952381
EEGNet,3,6,0.6927467041827263,0.6933428049087524,0.5011904761904762
EEGNet,3,7,0.6925635332756854,0.6929599046707153,0.5035714285714286
EEGNet,3,8,0.6919319147759295,0.6919988989830017,0.5083333333333333
EEGNet,3,9,0.6888257295527357,0.6898035407066345,0.5101190476190476
EEGNet,3,10,0.6873046426062889,0.6890747547149658,0.5113095238095238
EEGNet,3,11,0.6860272935096253,0.686145007610321,0.5113095238095238
EEGNet,3,12,0.6833259493746656,0.6875892877578735,0.5101190476190477
EEGNet,4,1,0.7034338344918921,0.6928130388259888,0.5059523809523809
EEGNet,4,2,0.6949820612339264,0.6929516792297363,0.5011904761904762
EEGNet,4,3,0.6937741259311108,0.6922969818115234,0.5095238095238095
EEGNet,4,4,0.6934809451407574,0.6921966075897217,0.5029761904761905
EEGNet,4,5,0.6932271290332713,0.6912581920623779,0.5089285714285714
EEGNet,4,6,0.6914783021236988,0.688409149646759,0.5202380952380953
EEGNet,4,7,0.6882809253449136,0.6849215030670166,0.5226190476190476
EEGNet,4,8,0.688028562322576,0.6846652626991272,0.5190476190476191
EEGNet,4,9,0.686410779395002,0.6809995174407959,0.5214285714285715
EEGNet,4,10,0.6869761149933997,0.6827405095100403,0.5226190476190476
EEGNet,4,11,0.6843931522775204,0.6806137561798096,0.5238095238095238
EEGNet,4,12,0.6843920758429994,0.6817733645439148,0.5232142857142857
EEGNet,5,1,0.701343394086716,0.6934587955474854,0.4988095238095238
EEGNet,5,2,0.6970349956066051,0.6932957172393799,0.5017857142857143
EEGNet,5,3,0.6929437487683398,0.6930429339408875,0.5017857142857143
EEGNet,5,4,0.6918633750144472,0.692837655544281,0.5011904761904762
EEGNet,5,5,0.6908697800433382,0.694518506526947,0.5023809523809524
EEGNet,5,6,0.6878670639180122,0.6908877491950989,0.5035714285714286
EEGNet,5,7,0.6857499553802165,0.6926250457763672,0.5023809523809524
