architecture,fold,subject,n_test,n_train,n_validation,validation_subjects,test_subjects,runtime_seconds,device,input_representation,normalization_fit_scope,seed,epochs_completed,balanced_accuracy,auc,left_precision,left_recall,left_f1,right_precision,right_recall,right_f1
EEGNet,1,A13,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.162718900001,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5541666666666667,0.6084375000000001,0.5311004784688995,0.925,0.6747720364741642,0.7096774193548387,0.18333333333333332,0.2913907284768212
EEGNet,1,A18,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.17079100000046,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.6,0.7029166666666666,0.5560747663551402,0.9916666666666667,0.7125748502994012,0.9615384615384616,0.20833333333333334,0.3424657534246575
EEGNet,1,A22,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.17798330000005,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5083333333333333,0.4918402777777777,0.5042735042735043,0.9833333333333333,0.6666666666666666,0.6666666666666666,0.03333333333333333,0.06349206349206349
EEGNet,1,A27,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.1862648000006,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5041666666666667,0.5121527777777778,0.5022421524663677,0.9333333333333333,0.6530612244897959,0.5294117647058824,0.075,0.13138686131386862
EEGNet,1,A31,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.1941521000008,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5541666666666667,0.5644444444444445,0.5320197044334976,0.9,0.6687306501547987,0.6756756756756757,0.20833333333333334,0.3184713375796178
EEGNet,1,A36,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.2026588000008,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.49583333333333335,0.5348958333333333,0.49767441860465117,0.8916666666666667,0.6388059701492538,0.48,0.1,0.16551724137931034
EEGNet,1,A40,232,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.2091797000012,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5042372881355932,0.4865447517097829,0.4935064935064935,1.0,0.6608695652173913,1.0,0.00847457627118644,0.01680672268907563
EEGNet,1,A41,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.21705740000107,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5,0.6076041666666666,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
EEGNet,1,A46,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.2246059000008,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5166666666666667,0.5230555555555555,0.5102040816326531,0.8333333333333334,0.6329113924050633,0.5454545454545454,0.2,0.2926829268292683
EEGNet,1,A50,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.23156709999967,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.55,0.57875,0.5297029702970297,0.8916666666666667,0.6645962732919255,0.6578947368421053,0.20833333333333334,0.31645569620253167
EEGNet,1,A55,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.23914689999947,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.6166666666666667,0.6986805555555555,0.5673076923076923,0.9833333333333333,0.7195121951219512,0.9375,0.25,0.39473684210526316
EEGNet,1,A60,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.2469746000006,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5125,0.51625,0.5065502183406113,0.9666666666666667,0.664756446991404,0.6363636363636364,0.058333333333333334,0.10687022900763359
EEGNet,1,B62,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.2530891000006,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5,0.43923611111111116,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
EEGNet,1,B67,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.261094200001,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5,0.5244097222222223,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
EEGNet,1,B72,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.2687442000006,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5,0.5045138888888889,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
EEGNet,1,B77,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.2754831000002,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5,0.5525347222222222,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
EEGNet,1,C82,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.2829007,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5,0.5157986111111111,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
EEGNet,1,C87,240,14800,1680,B79;B80;B81;C83;C84;C85;C86,A13;A18;A22;A27;A31;A36;A40;A41;A46;A50;A55;A60;B62;B67;B72;B77;C82;C87,272.2901214000012,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5,0.49145833333333333,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
EEGNet,2,A12,240,14872,1680,B79;B80;C82;C83;C84;C85;C87,A12;A17;A21;A26;A30;A35;A4;A45;A5;A54;A59;A6;B61;B66;B71;B76;B81;C86,272.6885562999996,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5,0.5152777777777778,0.5,0.3333333333333333,0.4,0.5,0.6666666666666666,0.5714285714285714
EEGNet,2,A17,240,14872,1680,B79;B80;C82;C83;C84;C85;C87,A12;A17;A21;A26;A30;A35;A4;A45;A5;A54;A59;A6;B61;B66;B71;B76;B81;C86,272.6969780999989,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5,0.47395833333333337,0.0,0.0,0.0,0.5,1.0,0.6666666666666666
EEGNet,2,A21,240,14872,1680,B79;B80;C82;C83;C84;C85;C87,A12;A17;A21;A26;A30;A35;A4;A45;A5;A54;A59;A6;B61;B66;B71;B76;B81;C86,272.7051290999989,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5041666666666667,0.5168402777777777,0.5076923076923077,0.275,0.3567567567567568,0.5028571428571429,0.7333333333333333,0.5966101694915255
EEGNet,2,A26,240,14872,1680,B79;B80;C82;C83;C84;C85;C87,A12;A17;A21;A26;A30;A35;A4;A45;A5;A54;A59;A6;B61;B66;B71;B76;B81;C86,272.71333740000046,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5541666666666667,0.5933333333333334,0.6274509803921569,0.26666666666666666,0.3742690058479532,0.5343915343915344,0.8416666666666667,0.6537216828478964
EEGNet,2,A30,240,14872,1680,B79;B80;C82;C83;C84;C85;C87,A12;A17;A21;A26;A30;A35;A4;A45;A5;A54;A59;A6;B61;B66;B71;B76;B81;C86,272.71971829999893,cpu,"EOG-regressed 8-30Hz MI epoch, 64Hz downsampled",training_subjects_only,20260727,12,0.5041666666666667,0.49565972222222227,0.5106382978723404,0.2,0.2874251497005988,0.5025906735751295,0.8083333333333333,0.6198083067092651
