frequency_hz,left_c3_power,left_c4_power,right_c3_power,right_c4_power
0.0,1202.4766,752.08514,1137.6372,833.4865
0.5,593.60144,371.21548,562.1618,411.56946
1.0,0.017811153,0.01145126,0.014706357,0.01215648
1.5,0.023661373,0.015251985,0.01966841,0.016355662
2.0,0.034454986,0.022512795,0.028675085,0.024184728
2.5,0.05890991,0.040974934,0.04803787,0.044321813
3.0,0.1395813,0.14039828,0.11018614,0.12003509
3.5,0.68892187,0.77141804,0.47889903,0.6056621
4.0,4.069244,3.8204317,2.6893442,3.492405
4.5,22.566156,19.587824,15.187821,18.226728
5.0,119.225975,93.17426,83.2718,84.945465
5.5,589.86664,514.06415,453.76355,456.43832
6.0,2948.7327,2468.687,2190.6628,2183.0657
6.5,12422.356,10082.62,9724.733,9014.118
7.0,46480.957,33630.418,42939.37,33252.105
7.5,148723.39,98939.38,131907.84,102937.0
8.0,367900.72,243436.17,327107.53,253925.4
8.5,686685.94,425870.28,599686.06,451302.56
9.0,913873.9,606373.9,804848.2,591090.3
9.5,1.1422412e+06,771759.7,943298.56,726003.06
10.0,1.2743274e+06,797967.44,1.0155159e+06,936254.2
10.5,1.2058916e+06,708107.4,990658.8,908247.4
11.0,1.0957662e+06,623459.94,897632.6,762419.1
11.5,1.01948606e+06,625047.06,855733.2,783517.2
12.0,1.02775244e+06,644478.6,872429.7,806580.1
12.5,934589.1,569065.06,812236.25,609252.25
13.0,735905.1,437598.1,684663.8,451271.47
13.5,571783.1,338209.5,563105.06,360556.78
14.0,544912.7,309319.84,503916.38,320574.06
14.5,466558.97,284256.12,497703.03,297088.44
15.0,421846.8,269455.1,457314.66,282667.03
15.5,429388.72,272376.03,448321.47,260398.55
16.0,444674.2,268431.22,457040.06,249172.23
16.5,416203.9,258126.77,454728.1,255948.53
17.0,412415.16,258075.5,471006.44,260885.73
17.5,400358.7,253355.4,465242.66,266027.47
18.0,394243.53,253625.95,447640.88,265300.5
18.5,442879.6,257237.84,460058.06,262577.22
19.0,450120.7,259605.83,455755.88,269190.72
19.5,453487.4,262562.12,429650.66,264878.06
20.0,440058.38,269465.53,451690.6,275486.88
20.5,423163.38,266187.97,454236.94,278027.7
21.0,432496.97,271751.84,448327.16,267616.62
21.5,434714.94,265726.9,473425.28,260007.23
22.0,419643.1,252960.14,479047.12,259417.27
22.5,429996.47,237996.6,470957.3,251286.61
23.0,441513.6,238131.77,483682.1,249717.22
23.5,416393.53,230348.86,499900.03,246406.0
24.0,417812.34,225386.56,502972.3,230282.33
24.5,398824.94,206052.45,444752.53,210556.78
25.0,365718.03,191594.66,440390.12,195655.36
25.5,334541.5,180327.97,412373.78,180515.05
26.0,310047.44,168403.8,364494.34,161219.06
26.5,290736.9,148968.08,315942.2,147573.34
27.0,244724.81,128036.66,278290.3,133540.94
27.5,233583.94,114494.72,252816.78,123755.125
28.0,195850.08,98031.09,226664.53,104760.63
28.5,158809.03,80499.03,192182.44,85735.57
29.0,129363.375,71192.01,159537.64,72745.84
29.5,100926.09,55015.91,128423.91,59262.145
30.0,82033.82,42590.55,103172.57,41563.523
30.5,64779.46,31409.84,72162.37,32382.23
31.0,51509.023,24636.738,58959.6,26355.264
31.5,42874.766,18977.139,46990.6,19447.28
32.0,33511.05,14058.167,32787.367,14150.825
32.5,22059.117,10843.151,23653.846,10672.043
33.0,16106.348,7819.777,16533.72,7831.8906
33.5,11764.019,5483.0435,12724.837,5818.6416
34.0,8236.774,3956.9849,9950.288,4463.7456
34.5,5627.951,2735.8062,6876.4653,3168.2407
35.0,4774.9175,2055.293,4842.4155,2230.1907
35.5,3398.3623,1577.7745,3444.3428,1657.3374
36.0,2255.0083,1134.9338,2358.0242,1168.6686
36.5,1651.8696,835.48016,1686.4274,828.38153
37.0,1155.9031,628.73395,1311.6694,652.15173
37.5,862.6329,458.79144,946.8137,494.00635
38.0,587.2452,338.40707,720.50116,359.8949
38.5,462.166,255.61717,563.0996,279.34335
39.0,366.7435,205.92535,400.5582,213.8776
39.5,313.3073,155.3014,294.94724,156.29123
40.0,219.33356,118.339035,206.46426,117.54563
40.5,152.45268,88.777245,169.2952,92.20987
41.0,113.85578,65.956566,129.40488,68.67256
41.5,89.66889,51.40027,96.299225,52.639202
42.0,68.14201,42.411404,78.68314,40.506226
42.5,54.325676,30.819761,63.74153,31.683357
43.0,40.438755,23.939137,48.131516,24.3304
43.5,32.197987,18.894632,34.873055,18.670925
44.0,26.90216,14.50234,27.738407,14.264094
44.5,21.5654,12.053986,21.550123,10.674685
45.0,15.9818325,9.558027,14.809641,8.637507
45.5,12.255214,7.492592,12.7754545,6.8839445
46.0,9.981307,5.561957,10.841658,5.631487
46.5,8.198978,4.7348285,8.630466,4.3358326
