subject,dataset,latent_dimension,component,validity_label,sctm_n_trials,sctm_status,sctm_differential_norm,sctm_common_state_norm,sctm_differential_partial_r2,sctm_permutation_p,sctm_null_differential_norm_mean,cross_low_to_high_within_auc,cross_low_to_high_cross_auc,cross_high_to_low_within_auc,cross_high_to_low_cross_auc,cross_status,cross_cross_state_gap
A1,A,1,1,fixed_dimension_sensitivity_ablation,238,ok,0.28860430836097234,0.3283254240573665,0.0069627229950496305,0.8047808764940239,0.298592515071768,0.7868589743589745,0.6820728291316527,0.7675070028011204,0.8108974358974359,ok,0.030697856065503126
A5,A,1,1,fixed_dimension_sensitivity_ablation,238,ok,1.5255856530710454,2.0023378743118054,0.0017317208578673249,0.9322709163346613,1.5353819527384083,0.4736024844720497,0.6256613756613757,0.5634920634920635,0.5916149068322981,ok,-0.0900908672647803
A29,A,1,1,fixed_dimension_sensitivity_ablation,238,ok,1.3572293646103772,2.33601370650603,0.0018107612044914179,0.896414342629482,1.3731590403614977,0.5333333333333333,0.36585365853658536,0.5107604017216643,0.6833333333333333,ok,-0.0025466284074605605
A33,A,1,1,fixed_dimension_sensitivity_ablation,240,ok,1.3938615040128375,0.9414749324095282,0.002731202345599537,0.00398406374501992,1.3901823962897952,0.8947368421052632,0.8218623481781376,0.8259109311740891,0.9057527539779682,ok,-0.0034836644383767768
A37,A,1,1,fixed_dimension_sensitivity_ablation,239,ok,1.1720171138466604,1.926765977182185,0.0018536537341514725,0.9163346613545816,1.1742079089498287,0.626453488372093,0.6768507638072856,0.7685076380728554,0.5174418604651163,ok,0.10033425108627325
A41,A,1,1,fixed_dimension_sensitivity_ablation,236,ok,1.161080427966732,0.9796906248486817,0.003060078308218528,0.00398406374501992,0.7520294308210344,0.6477732793522266,0.6342780026990553,0.7058029689608637,0.5964912280701754,ok,0.06140350877192979
A45,A,1,1,fixed_dimension_sensitivity_ablation,240,ok,0.05042294172333354,0.1286951651597795,0.0010669859334728748,0.701195219123506,0.052420412815448306,0.4714445688689809,0.5606837606837607,0.5555555555555556,0.48488241881298993,ok,-0.009283027536107075
B69,B,1,1,fixed_dimension_sensitivity_ablation,240,ok,0.5958913802238262,0.25327220193626687,0.005624905649625589,0.4701195219123506,0.5961823071628097,0.9521367521367521,0.9037037037037037,0.7814814814814814,0.8,ok,0.014957264957264904
B73,B,1,1,fixed_dimension_sensitivity_ablation,238,ok,0.5192947473089423,1.0728501833881043,0.0012507249100148776,0.7609561752988048,0.5404909943351484,0.9247311827956989,0.9423076923076923,0.9487179487179487,0.8402457757296466,ok,0.04544783173815431
B77,B,1,1,fixed_dimension_sensitivity_ablation,239,ok,0.8873675542236019,1.0631326900191684,0.007172386148017407,0.00398406374501992,0.5586883171895406,0.6437246963562753,0.6985871271585558,0.5321821036106751,0.47638326585695,ok,0.00046820347572229526
