term,estimate_log_odds,p_value
Intercept,1.7630895785072882,6.39516409895502e-116
C(subject)[T.A10],-0.25735583065666184,0.03611153536275125
C(subject)[T.A11],-1.7338022999572122,5.253659489972122e-45
C(subject)[T.A12],-1.4030483726890324,3.7691136238981594e-30
C(subject)[T.A13],-1.1887371706393146,2.358910383150024e-22
C(subject)[T.A14],-1.8329213422771347,7.385247144867969e-51
C(subject)[T.A15],-0.6761528875287549,3.977100635752873e-08
C(subject)[T.A16],-1.8338225204697418,3.4793296053862093e-50
C(subject)[T.A17],-1.857253075103952,0.0
C(subject)[T.A18],-0.2571244380466398,0.03593334466472502
C(subject)[T.A19],2.1500473899427592,9.923795637251272e-69
C(subject)[T.A2],-1.5820653358435395,3.2735912031991575e-38
C(subject)[T.A20],-0.2133942504598308,0.08214797949375982
C(subject)[T.A21],-1.531311339473875,7.120198139632046e-36
C(subject)[T.A22],0.2575386508109708,0.03606237101724871
C(subject)[T.A23],-1.7333269605049766,2.5446369554813862e-45
C(subject)[T.A24],0.7983282623330021,7.846261003293637e-11
C(subject)[T.A25],-0.34176720691283713,0.005431981571655156
C(subject)[T.A26],-1.1618159278107592,3.54383958935508e-21
C(subject)[T.A27],-1.984287896204492,1.714006849249163e-58
C(subject)[T.A28],-1.8839985096286833,9.091827154241347e-53
C(subject)[T.A29],-1.708316757987221,4.873320742047239e-44
C(subject)[T.A3],2.149822521319151,1.7732199615225732e-68
C(subject)[T.A30],-2.1886198434539748,1.578295492373626e-70
C(subject)[T.A31],-1.7086337735861876,7.791230358516863e-44
C(subject)[T.A32],-1.586806168549274,1.2527011878176222e-38
C(subject)[T.A33],-1.2977446958156567,5.386547132939242e-26
C(subject)[T.A34],-1.8839151822596523,7.817665877181626e-53
C(subject)[T.A35],0.46069893554480623,0.0001795457569771481
C(subject)[T.A36],-0.9606374606454147,4.597233837483949e-15
C(subject)[T.A37],-1.9087595493051037,2.262129447394012e-54
C(subject)[T.A38],-1.2978342815675659,5.834812868712093e-26
C(subject)[T.A39],-0.34181133812982695,0.005443531376165287
C(subject)[T.A4],-1.757876344427071,6.351109391381531e-47
C(subject)[T.A40],-1.8416803106490545,7.756960399549866e-48
C(subject)[T.A41],-1.604406663014818,0.0
C(subject)[T.A42],-1.7338137278782135,5.341122018939056e-45
C(subject)[T.A43],-1.6081587292662618,6.171424916652565e-39
C(subject)[T.A44],-1.5573317388674726,1.0256602548106572e-36
C(subject)[T.A45],-1.6333648534019656,3.966111493521756e-40
C(subject)[T.A46],-1.6333546061748185,3.911086119448563e-40
C(subject)[T.A47],-1.9593182041150552,6.90827294370201e-57
C(subject)[T.A48],-1.5421181626491693,5.2377057140904576e-36
C(subject)[T.A49],-1.6080718397670246,5.51010803233666e-39
C(subject)[T.A5],-1.7584139573390138,1.4911355095718006e-46
C(subject)[T.A50],-1.7087499607187164,9.236817914848848e-44
C(subject)[T.A51],-1.2168576274495015,4.7303527936619906e-23
C(subject)[T.A52],0.25753153594538414,0.03608425687435185
C(subject)[T.A53],-1.959266762429407,6.234426646912488e-57
C(subject)[T.A54],-1.9090548511275345,3.9015559336469986e-54
C(subject)[T.A55],0.6176306111572313,4.964672513855535e-07
C(subject)[T.A56],3.2610697024497166,6.155068752907068e-155
C(subject)[T.A57],-1.8589490742846222,1.9654015228529332e-51
C(subject)[T.A58],-1.1341082711753285,3.247085626599646e-20
C(subject)[T.A59],-1.4548163488320653,9.304669727766078e-17
C(subject)[T.A6],-1.161772727688318,3.433667884899455e-21
C(subject)[T.A60],-1.5574672606747928,1.2162031082126859e-36
C(subject)[T.A7],-1.9090031088841366,3.5427165894034844e-54
C(subject)[T.A8],-1.5581489335747074,7.268942756982977e-37
C(subject)[T.A9],-1.1338530501964232,2.7726905645294526e-20
C(subject)[T.B61],0.0036858513570925283,0.38104319510158624
C(subject)[T.B62],0.6191802990353327,4.475417323426504e-61
C(subject)[T.B63],-1.298481118725537,0.0
C(subject)[T.B64],-1.6404933380851137,9.14588189604964e-273
C(subject)[T.B65],-0.1015033856966861,0.004193699882083303
C(subject)[T.B66],-1.320974271227355,0.0
C(subject)[T.B67],-1.658590780757653,8.552252211662924e-269
C(subject)[T.B68],-1.4393222930698606,1.475153893414669e-205
C(subject)[T.B69],-1.2467957160521936,0.0
C(subject)[T.B70],-1.4378132575506077,0.0
C(subject)[T.B71],-1.7669442340254722,0.0
C(subject)[T.B72],-1.880658821753193,0.0
C(subject)[T.B73],0.14155772519940948,8.787309826395572e-91
C(subject)[T.B74],-0.8744278431214796,2.708406333407414e-61
C(subject)[T.B75],-0.7098006892884192,8.868666338310379e-74
C(subject)[T.B76],-0.24603046802972453,1.6663475198222822e-63
C(subject)[T.B77],-1.500178633657463,0.0
C(subject)[T.B78],-1.4685964946615273,0.0
C(subject)[T.B79],2.0098095590678096,0.0
C(subject)[T.B80],-1.7012537791020006,0.0
C(subject)[T.B81],-1.503346754440993,0.0
C(subject)[T.C82],-1.6402718334928035,3.571134399826844e-115
C(subject)[T.C83],-2.0349261355546258,2.5755809131375286e-61
C(subject)[T.C84],-0.502128861346453,1.7187889951516924e-172
C(subject)[T.C85],-0.38237184251761513,0.001881416337332329
C(subject)[T.C86],-1.1403815453051316,7.985391297593879e-223
C(subject)[T.C87],-0.6310745601800372,4.172662201002191e-30
z_state,-0.07280351027132706,0.3209660498838952
run_centered,0.0418128417685659,0.07086961750286208
