cluster,p_value,significant_fwer_0_05,n_time_frequency_cells,n_subjects
0,0.7626953125,False,7,57
1,1.0,False,2,57
2,1.0,False,1,57
3,1.0,False,1,57
4,1.0,False,2,57
5,1.0,False,1,57
6,1.0,False,1,57
7,1.0,False,2,57
8,1.0,False,1,57
9,0.572265625,False,8,57
10,1.0,False,2,57
11,1.0,False,1,57
12,1.0,False,3,57
13,0.0517578125,False,16,57
14,0.99609375,False,4,57
15,1.0,False,2,57
16,0.986328125,False,4,57
17,1.0,False,1,57
18,1.0,False,1,57
19,1.0,False,2,57
20,1.0,False,1,57
21,1.0,False,1,57
22,1.0,False,1,57
23,1.0,False,2,57
24,0.84765625,False,5,57
25,0.93359375,False,5,57
26,1.0,False,1,57
27,0.9658203125,False,5,57
28,1.0,False,1,57
29,1.0,False,1,57
30,1.0,False,2,57
31,1.0,False,1,57
32,1.0,False,1,57
33,1.0,False,1,57
