term,estimate,p_value
Intercept,0.02206552150422,0.9604633418718893
reject_flag[T.True],-3.753760771249566,3.751216366264999e-15
z_state,0.0426574302858444,0.7117138949188588
trial_centered,0.07950491175152267,0.002620149680330479
run_centered,-0.03542483042567394,0.17940656937290234
blink_amplitude,-0.6161575720860385,4.799328136324261e-87
emg_rms_20_45hz,-0.0722424369824414,0.21854769815337916
Group Var,1.7864799134511427,1.317731987232293e-10
Group x z_state Cov,0.07208859944655789,0.0257433433487377
z_state Var,0.0411703962677837,0.0007199428065856463
