county,retail_esd_availability_pct,copd_adjusted_prevalence_pct
Alameda,0.7,3.8
Alpine,0.66,4.7
Amador,0.6,5.2
Butte,0.78,6.2
Calaveras,0.64,5.9
Colusa,0.43,5.7
Contra Costa,0.65,4.0
Del Norte,0.75,6.6
El Dorado,0.75,4.6
Fresno,0.59,5.8
Glenn,0.58,6.1
Humboldt,0.76,6.7
Imperial,0.63,5.4
Inyo,0.69,5.2
Kern,0.62,6.4
Kings,0.66,6.1
Lake,0.62,6.9
Lassen,0.81,6.9
Los Angeles,0.48,4.5
Madera,0.69,6.7
Marin,0.6,3.9
Mariposa,0.42,5.9
Mendocino,0.63,6.4
Merced,0.54,6.1
Modoc,0.64,7.0
Mono,0.41,5.1
Monterey,0.52,5.3
Napa,0.67,4.6
Nevada,0.72,5.2
Orange,0.69,4.1
Placer,0.88,4.2
Plumas,0.57,5.9
Riverside,0.7,4.9
Sacramento,0.79,5.1
San Benito,0.6,4.4
San Bernardino,0.65,5.1
San Diego,0.71,4.4
San Francisco,0.38,3.6
San Joaquin,0.69,5.2
San Luis Obispo,0.89,4.9
San Mateo,0.54,3.5
Santa Barbara,0.74,5.2
Santa Clara,0.59,3.3
Santa Cruz,0.57,4.7
Shasta,0.75,6.1
Sierra,0.66,6.9
Siskiyou,0.66,6.6
Solano,0.76,4.6
Sonoma,0.72,4.7
Stanislaus,0.69,5.7
Sutter,0.71,6.1
Tehama,0.72,6.8
Trinity,0.48,7.8
Tulare,0.64,6.0
Tuolumne,0.73,5.6
Ventura,0.69,4.5
Yolo,0.74,5.0
Yuba,0.72,6.3
