Timestamp,What is your gender?,What grade are you entering into?,What is your race?,Out of these options what is your favorite Artist?,What is the best Drake album?
7/7/2026 10:44:27,Female,Junior,White,Lady Gaga,"Honestly, Nevermind (2022)"
7/7/2026 10:50:37,Female,Senior,Asian,The Weeknd,Nothing Was the Same (2013)
7/7/2026 10:46:35,Female,Senior,South Asian,Olivia Rodrigo,Scorpion (2018)
7/7/2026 10:48:57,Female,Junior,Asian,Olivia Rodrigo,Scorpion (2018)
7/7/2026 10:45:15,Female,Senior,South Asian,Olivia Rodrigo,Views (2016)
7/7/2026 10:42:58,Male,Senior,Asian,Travis Scott,Certified Lover Boy (2021)
7/7/2026 10:46:58,Male,Junior,Asian,Drake,Certified Lover Boy (2021)
7/7/2026 10:47:16,Male,Junior,Asian,Drake,Certified Lover Boy (2021)
7/7/2026 10:44:02,Male,Junior,South Asian,Drake,For All the Dogs (2023)
7/7/2026 10:46:47,Male,Senior,South Asian,The Weeknd,ICEMAN (2026)
7/7/2026 10:48:55,Male,Junior,South Asian,The Weeknd,ICEMAN (2026)
7/7/2026 10:49:24,Male,Junior,South Asian,Drake,ICEMAN (2026)
7/7/2026 10:43:51,Male,Senior,South Asian,The Weeknd,If You're Reading This It's Too Late (2015)
7/7/2026 10:44:22,Male,Senior,Asian,The Weeknd,Take Care (2011)
7/7/2026 10:44:23,Male,Junior,Asian,Billie Eilish,Take Care (2011)
7/7/2026 10:46:52,Male,Senior,White,Lady Gaga,Thank Me Later (2010)
7/7/2026 10:44:01,Male,Junior,Asian,Kendrick Lamar,Views (2016)
7/7/2026 10:44:57,Male,Senior,Asian,Travis Scott,Views (2016)
7/7/2026 10:48:34,Male,Senior,South Asian,Drake,Views (2016)
